pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
Ball,61.6,1.08313810572381,0.189582689794777,-1.08313810572381,0.189582689794777,Curveball,0-0,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,Ball,61.6,1.08313810572381,0.189582689794777,Curveball,0-0
Ball,61.2,0.941178980665309,-0.648402526489874,-0.941178980665309,-0.648402526489874,Curveball,1-0,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,Ball,61.2,0.941178980665309,-0.648402526489874,Curveball,1-0
SL,62.2,-0.165534954644903,-0.260310192343173,0.165534954644903,-0.260310192343173,Screwball,2-0,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,SL,62.2,-0.165534954644903,-0.260310192343173,Screwball,2-0
S,61.1,-0.119859499461108,0.337474796752172,0.119859499461108,0.337474796752172,Screwball,2-1,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,S,61.1,-0.119859499461108,0.337474796752172,Screwball,2-1
S,60.7,-0.0703768622280939,0.450222317862427,0.0703768622280939,0.450222317862427,Screwball,2-2,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,S,60.7,-0.0703768622280939,0.450222317862427,Screwball,2-2
Ball,61.8,1.38314602912208,0.37883305188608,-1.38314602912208,0.37883305188608,Curveball,2-2,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,Ball,61.8,1.38314602912208,0.37883305188608,Curveball,2-2
S,61.6,0.0528543927172057,0.219087127516714,-0.0528543927172057,0.219087127516714,Screwball,3-2,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,S,61.6,0.0528543927172057,0.219087127516714,Screwball,3-2
Ball,60.8,0.822139212796339,-1.47163059488696,-0.822139212796339,-1.47163059488696,Dropball,3-2,0,Bot 1,R,R,Santos,Caldwell,UCSB,UCSD,Ball,60.8,0.822139212796339,-1.47163059488696,Dropball,3-2
Ball,60.3,-1.13617093531312,0.491743254590883,1.13617093531312,0.491743254590883,Screwball,0-0,0,Bot 1,L,R,Mejia,Caldwell,UCSB,UCSD,Ball,60.3,-1.13617093531312,0.491743254590883,Screwball,0-0
Ball,60.3,-1.19096916243378,-0.49673636396992,1.19096916243378,-0.49673636396992,Screwball,1-0,0,Bot 1,L,R,Mejia,Caldwell,UCSB,UCSD,Ball,60.3,-1.19096916243378,-0.49673636396992,Screwball,1-0
